driver_id,round,position,grid_position,points,status,laps_completed
bortoleto,14,6.0,7.0,8.0,Finished,70.0
stroll,14,7.0,6.0,6.0,Finished,70.0
lawson,14,8.0,9.0,4.0,Finished,70.0
max_verstappen,14,9.0,8.0,2.0,Finished,70.0
antonelli,14,10.0,15.0,1.0,Lapped,69.0
hadjar,14,11.0,10.0,0.0,Lapped,69.0
hamilton,14,12.0,12.0,0.0,Lapped,69.0
hulkenberg,14,13.0,18.0,0.0,Lapped,69.0
sainz,14,14.0,13.0,0.0,Lapped,69.0
albon,14,15.0,19.0,0.0,Lapped,69.0
ocon,14,16.0,17.0,0.0,Lapped,69.0
tsunoda,14,17.0,20.0,0.0,Lapped,69.0
colapinto,14,18.0,14.0,0.0,Lapped,69.0
gasly,14,19.0,16.0,0.0,Lapped,69.0
bearman,14,20.0,11.0,0.0,Retired,48.0
piastri,15,1.0,1.0,25.0,Finished,72.0
max_verstappen,15,2.0,3.0,18.0,Finished,72.0
hadjar,15,3.0,4.0,15.0,Finished,72.0
